iter	Passed	Remaining
399	43735	10933
400	43851	10826
401	43967	10718
402	44081	10610
403	44194	10501
404	44302	10392
405	44429	10286
406	44540	10177
407	44655	10069
408	44779	9963
409	44910	9858
410	45034	9751
411	45152	9644
412	45272	9536
413	45394	9429
414	45508	9321
415	45624	9212
416	45739	9104
417	45850	8994
418	45969	8886
419	46081	8777
420	46200	8669
421	46318	8561
422	46437	8453
423	46558	8345
424	46686	8238
425	46818	8132
426	46950	8026
427	47076	7919
428	47188	7809
429	47311	7701
430	47432	7593
431	47543	7483
432	47660	7374
433	47779	7266
434	47890	7156
435	48005	7046
436	48128	6938
437	48244	6829
438	48370	6721
439	48493	6612
440	48608	6503
441	48727	6394
442	48834	6283
443	48940	6172
444	49054	6062
445	49168	5953
446	49283	5843
447	49399	5733
448	49527	5625
449	49646	5516
450	49764	5406
451	49881	5297
452	49997	5187
453	50121	5078
454	50234	4968
455	50355	4858
456	50473	4749
457	50593	4639
458	50715	4530
459	50830	4420
460	50946	4310
461	51067	4200
462	51180	4090
463	51293	3979
464	51421	3870
465	51552	3761
466	51671	3651
467	51790	3541
468	51904	3430
469	52020	3320
470	52132	3209
471	52249	3099
472	52376	2989
473	52498	2879
474	52617	2769
475	52735	2658
476	52845	2548
477	52961	2437
478	53079	2327
479	53197	2216
480	53311	2105
481	53434	1995
482	53545	1884
483	53660	1773
484	53778	1663
485	53893	1552
486	54015	1441
487	54129	1331
488	54245	1220
489	54367	1109
490	54483	998
491	54601	887
492	54720	776
493	54837	666
494	54958	555
495	55073	444
496	55189	333
497	55303	222
498	55424	111
499	55541	0
