iter	Logloss
154	0.5102064225
155	0.5102014483
156	0.5102014479
157	0.5098010866
158	0.5098010795
159	0.5098010641
160	0.5097940542
161	0.5097717096
162	0.5090642512
163	0.5089654347
164	0.5086434671
165	0.5083611116
166	0.5082813739
167	0.5081744859
168	0.5079421359
169	0.5079309663
170	0.5075763457
171	0.5070402258
172	0.5065126956
173	0.506498726
174	0.5062389082
175	0.5056613874
176	0.5052934283
177	0.5050625872
178	0.5047331625
179	0.5047043828
180	0.5042802741
181	0.5039058293
182	0.5035577184
183	0.5028824074
184	0.5028563023
185	0.5028458765
186	0.5026558182
187	0.5023939145
188	0.5020253923
189	0.5016817093
190	0.5015324063
191	0.5015257397
192	0.5014089391
193	0.501171477
194	0.5008609533
195	0.5006570548
196	0.5003254217
197	0.5000087837
198	0.4997260654
199	0.4995518584
200	0.4993099926
201	0.499107846
202	0.4990986802
203	0.4988859112
204	0.4986444599
205	0.4981192906
206	0.4975779831
207	0.4973469367
208	0.4969145846
209	0.4967664785
210	0.4961480577
211	0.495834653
212	0.4953676637
213	0.4949233242
214	0.4944184847
215	0.4941462127
216	0.4939577839
217	0.493927318
218	0.4930398
219	0.4928289239
220	0.4926679491
221	0.4922421362
222	0.4917567473
223	0.4915029391
224	0.4913354796
225	0.4909953933
226	0.4905023708
227	0.4901671709
228	0.4897909744
229	0.4894726906
230	0.4890907366
231	0.4883716366
232	0.4876625578
233	0.4872800491
234	0.4870324053
235	0.4866894494
236	0.4863034372
237	0.4858147103
238	0.4853685906
239	0.4849106594
240	0.4846792715
241	0.4841798202
242	0.4838035249
243	0.4833724297
244	0.4829385693
245	0.4825917794
246	0.4821983824
247	0.4819367875
248	0.481675213
249	0.4815223758
250	0.4810679347
251	0.480495172
252	0.4801647444
253	0.4796387202
254	0.4791993388
255	0.4788589448
256	0.4784724693
257	0.4782697417
258	0.4778649438
259	0.4775848801
260	0.4771717601
261	0.4766958177
262	0.4762787246
263	0.4759787298
264	0.475776414
265	0.4754088313
266	0.4749678308
267	0.4745977102
268	0.4742208164
269	0.4740296041
270	0.4736599162
271	0.473224664
272	0.4727967274
273	0.4724190122
274	0.4721900561
275	0.4719395508
276	0.4714827874
277	0.4711937659
278	0.4708407558
279	0.4703908228
280	0.4698864141
281	0.4695610985
282	0.4692962536
283	0.4691137686
284	0.4686202825
285	0.4682300169
286	0.4679249019
287	0.4675620958
288	0.4672513585
289	0.4667399642
290	0.466294166
291	0.4660152163
292	0.465806838
293	0.4655437877
294	0.4652166936
295	0.4650535816
296	0.4648369196
297	0.4645854536
298	0.4642548471
299	0.4639934104
300	0.4633885503
301	0.4633280284
302	0.4628480008
303	0.4624194927
304	0.4619627438
305	0.4616817779
306	0.4611150875
307	0.460787979
308	0.4605825192
309	0.4602392603
310	0.4600385432
311	0.4599018577
312	0.4594784047
313	0.4591973352
314	0.4587832431
315	0.4584919584
316	0.4582718112
317	0.4579497484
318	0.4576956153
319	0.4572999998
320	0.4570860481
321	0.4569348293
322	0.4563383987
323	0.456015314
324	0.4558985774
325	0.4555305852
326	0.4553155522
327	0.454931991
328	0.4547833912
329	0.4545962083
330	0.4542700653
331	0.4539992318
332	0.4537083087
333	0.4534943949
334	0.4529369562
335	0.452504184
336	0.4523676975
337	0.4522213196
338	0.4519242459
339	0.4517691661
340	0.4515900209
341	0.4513626096
342	0.4510060731
343	0.4507225776
344	0.4505659665
345	0.4503783154
346	0.4501103202
347	0.449718639
348	0.449575361
349	0.4493926514
350	0.4489278954
351	0.4487417385
352	0.4483472547
353	0.4477819028
354	0.4475894467
355	0.4473920795
356	0.4471761646
357	0.4470160958
358	0.4468747669
359	0.4467166824
360	0.4464269241
361	0.4461601822
362	0.4460759076
363	0.4456674443
364	0.4454640989
365	0.4451150156
366	0.4446583412
367	0.4443791881
368	0.4439989481
369	0.4439198576
370	0.4436573301
371	0.4434455302
372	0.4430710699
373	0.4428767671
374	0.4427576863
375	0.4425395204
376	0.4420328132
377	0.4417713934
378	0.4415725901
379	0.4411088587
380	0.4409594708
381	0.4408341263
382	0.4407147344
383	0.4405944137
384	0.4402735816
385	0.4400574639
386	0.4397320812
387	0.4395616026
388	0.4393311118
389	0.4391889827
390	0.4390356561
391	0.4389821768
392	0.438809123
393	0.4384854649
394	0.4382761153
395	0.4380756454
396	0.437792026
397	0.4375959992
398	0.4371208427
399	0.436891451
400	0.4366590458
401	0.4362076689
402	0.4359095393
403	0.4357464177
404	0.4355428402
405	0.4354195331
406	0.4353745377
407	0.4350195833
408	0.4348259135
409	0.4345453761
410	0.4343444959
411	0.4340812288
412	0.4340097086
413	0.4338079217
414	0.4336829885
415	0.4334531588
416	0.433302893
417	0.4331353955
418	0.4329142382
419	0.4325176384
420	0.4319191987
421	0.4316205359
422	0.4314192683
423	0.4311042709
424	0.4309111214
425	0.4306209891
426	0.4303612605
427	0.4298959399
428	0.4297374056
429	0.429630984
430	0.4292932593
431	0.4289983815
432	0.4288070123
433	0.4285953011
434	0.4283770608
435	0.4281043987
436	0.4277831442
437	0.4276495844
438	0.4274442155
439	0.4272240573
440	0.4271076952
441	0.4269057434
442	0.4267968465
443	0.4266903447
444	0.4264399797
445	0.4262311722
446	0.4260322986
447	0.4258451227
448	0.4256166604
449	0.4253154074
450	0.4251129049
451	0.4249784415
452	0.4247536356
453	0.4245560915
454	0.4241776456
455	0.4237743186
456	0.4234890031
457	0.423118477
458	0.4226498514
459	0.4225244367
460	0.4223797215
461	0.4220928939
462	0.421866557
463	0.4217219581
464	0.4215099812
465	0.4213340664
466	0.4209066369
467	0.420786899
468	0.4204349956
469	0.4201182684
470	0.4198355309
471	0.4196667367
472	0.4192053511
473	0.418839523
474	0.4187982825
475	0.4185450495
476	0.41835345
477	0.4180361384
478	0.417672959
479	0.417414922
480	0.4172472649
481	0.416937534
482	0.4168179866
483	0.4166485621
484	0.4164881764
485	0.4161893547
486	0.4159895413
487	0.4157718699
488	0.415582389
489	0.415436127
490	0.4153690135
491	0.4152000678
492	0.4149108544
493	0.4147761417
494	0.4144386473
495	0.4142648782
496	0.4138968426
497	0.4137013797
498	0.4134706593
499	0.4131778104
